,SPY,QQQ,EFA,EEM,IWM
2015-01-01,100.5010967894438,101.23638971456985,99.54615558291992,99.82298517427648,98.59863463164655
2015-01-02,100.40169974486588,101.8917702573978,98.44999656893226,100.03495075596467,98.3045391308674
2015-01-05,101.04803987793056,100.82876818333153,100.14156433570906,98.9799567403841,99.8373186634445
2015-01-06,102.53432919811867,100.66880780744295,100.18608270042944,98.83030126267222,99.24702381166048
2015-01-07,102.34001832828703,100.69456288307974,100.0050262764228,99.55701434957844,98.98002931348658
2015-01-08,102.14609156966657,101.29626681469523,99.15910376789891,100.19251569641739,98.50488807091811
2015-01-09,103.70275906781595,101.96813297655672,101.9411929052954,99.96845231818786,98.45516711220397
2015-01-12,104.48768907698083,101.29312127018679,100.9396679567459,100.20584779637547,97.94393545486052
2015-01-13,104.05734026555704,101.40375822599246,100.56268134270432,99.45683383848315,98.42549985006849
2015-01-14,104.62384620324426,101.87410475318528,100.9897458176391,100.14953440450867,98.64025413468732
2015-01-15,104.19892426899489,103.30784914291449,101.59456732068162,100.10768360310361,99.39256345079676
2015-01-16,103.77345169780286,104.02836161613158,102.54641367224447,99.87843342300144,98.43710271015676
2015-01-19,104.04365585726639,104.83700998082743,104.3304910784242,99.5687594752624,98.15178720116934
2015-01-20,102.1957012493998,104.95333162302252,104.8625975121533,99.54119576954969,97.97360067306897
2015-01-21,100.56246257409576,106.3854247139161,103.84951022609683,99.15153323464652,98.42652468564435
2015-01-22,100.06008696133458,106.83111100341061,103.63034176428472,99.7996201241924,97.72004119046031
2015-01-23,99.1342415631733,105.99579260269918,103.96467426603107,99.45854313304709,98.5965484784746
2015-01-26,99.46007782271654,107.43500984472422,106.02945006846043,100.98717680074365,99.73317283209842
2015-01-27,98.63828289127206,108.17760346721552,104.66267108502953,102.41739741293763,98.83293084126127
2015-01-28,97.35326720742773,107.75907381937597,105.88520855395545,101.58711659232245,98.40588831918524
2015-01-29,98.73242610610826,107.30505010513977,106.09883104252276,101.68627615818559,97.94251270535503
2015-01-30,98.5531354061442,107.63982424285035,106.97247160050568,101.09337735794045,100.40979938243164
2015-02-02,98.6473070539288,108.1451012118516,106.90333538136647,100.81344281710072,100.03379341597565
2015-02-03,97.3505739366406,108.38104105447741,106.08629672811065,102.75295447358907,101.65129291177801
2015-02-04,96.88071402756485,108.73426037140364,106.87266577087497,102.48694594019621,100.4669448497532
2015-02-05,97.0130124193368,110.5153871043829,107.5674719322978,102.86832819590808,99.5593403012875
2015-02-06,95.98870957846587,111.66945413405453,108.58963563009252,103.42715686640716,98.9450250542671
2015-02-09,96.3599433119778,111.90605907611952,108.61045696842886,102.48208103102677,98.18576520437821
2015-02-10,95.84364270496206,112.93693872828845,108.02935571915349,101.68657080056104,97.96838734208856
2015-02-11,95.60990051889561,111.87092995542254,106.47246988405608,100.56004833507686,97.34336233697695
2015-02-12,95.09665388093723,112.32708563125317,107.3306177567306,99.75011998499171,96.62062778090912
2015-02-13,96.79126141937935,114.28312684880156,107.79459078414007,97.09549070100346,97.70896173593778
2015-02-16,96.80964435757431,114.08394510340607,106.84510069567388,97.62595058457039,98.86986370993355
2015-02-17,95.87282047582117,113.20641967321497,106.33528047789305,99.55189265276962,99.78811451266755
2015-02-18,96.64841042218222,112.54481865752972,105.9000506117138,99.72254799253692,100.3138766380887
2015-02-19,95.5641672028274,111.42177846854386,104.4497043670721,98.4196706583555,100.43363133569581
2015-02-20,95.78310812945023,110.63092421065946,103.67584569005119,97.8531467986489,99.99382862156506
2015-02-23,94.0398860374146,110.27872932056673,102.59800780311186,97.45992213701808,99.12497909166403
2015-02-24,92.88952261352999,108.84908694292483,102.23069667625526,96.55375810013189,99.49644472804118
2015-02-25,93.09180108118466,108.89970608982247,101.54957699753322,97.36919535786286,98.42463872844453
2015-02-26,93.77093496468775,109.86272559996104,100.02061700314447,98.14558792435567,97.53151291818108
2015-02-27,93.95254473239856,108.95525626326568,101.9639317320906,97.10519239145836,98.62498421772345
2015-03-02,93.87970208098476,110.55399421970313,103.20308489012379,97.80132322037386,100.42754374932011
2015-03-03,93.64240215401968,111.1226830684257,102.4761655702049,99.24335325714748,100.83264335977535
2015-03-04,92.36387815541306,112.24008071015538,102.77248570775204,101.05900500145285,101.9188627763681
2015-03-05,91.76495122807017,111.57803349824893,103.21051587854136,103.82712929921306,101.71445553574068
2015-03-06,91.39466433058948,112.51439242173771,104.4048848692849,102.97516861605533,100.4610921104723
2015-03-09,92.33660757659761,111.38920965607414,103.63044805058803,105.75589307285544,101.0740995059282
2015-03-10,92.66572737551927,112.3615827091317,104.7327547058806,105.43550819038241,101.6498922496471
2015-03-11,91.15141155610456,112.57969782864986,104.22377884536157,104.8787230910778,101.75099978863511
2015-03-12,91.45948199636993,113.20397397677438,102.941278886115,105.23615017399149,101.5502682154357
2015-03-13,91.15572445887722,111.98240522455312,103.67832893560845,104.6907635818271,102.5058050248915
2015-03-16,90.60160235924309,111.07085112082389,104.97575757467894,105.11874706845883,101.58357656011854
2015-03-17,91.15402370146406,111.73291520128656,107.57610173614304,103.84091341964049,100.8730930106449
2015-03-18,92.07098670021652,110.76714213706676,106.39073380917398,103.63961368462292,99.9442282715679
2015-03-19,92.91041909024239,111.28712169016927,107.12713116559192,104.93148878724395,100.05620372042816
2015-03-20,92.20314782477112,109.88481740929225,106.74631591169204,104.90822356577982,99.05942756905262
2015-03-23,91.9630211384492,110.80037257635018,107.57034456411745,105.08189018545421,98.45040817152112
2015-03-24,92.28007335816683,109.545138389053,106.10982328248375,105.5871482944964,97.82511980748237
2015-03-25,93.16000956526752,110.15160264315958,104.87740092453089,106.78864271754496,97.61527935363571
2015-03-26,92.76777698579942,110.83774986054544,104.14180471507292,105.15232642317677,96.27434732447956
2015-03-27,92.63448340928974,110.14319457639176,104.25256998180244,105.76648892713854,96.38424160746884
2015-03-30,91.69550114107679,110.78390794062614,103.65414060360969,105.53208750044702,97.55081593786956
2015-03-31,90.68816830758801,111.09171087967226,104.33255058037474,105.73175847608852,97.70667613916204
2015-04-01,91.41322997797869,110.56134609443777,105.3780360201761,106.82428981162218,99.16070548276504
2015-04-02,92.61373469807633,109.54280127741853,106.00850601834273,105.65279665550327,100.44211548543946
2015-04-03,92.58011856355088,107.546097892548,107.66367679668659,104.67538887247912,101.21214147938491
2015-04-06,93.48739954917897,107.93555917058025,108.12088703388963,102.79430579099318,101.31569923211082
2015-04-07,93.83653755022954,106.3738896412584,106.9119730398562,102.29353264660242,101.3694035437001
2015-04-08,93.294317345072,106.50349328219737,108.32322791767628,103.61198010922736,102.13319055244425
2015-04-09,93.64252231993935,106.27217926783521,107.73820355996126,103.52681297724749,101.78762503981693
2015-04-10,95.03316432699232,106.98789650176161,108.69923981293206,102.24871963482055,100.00932512144996
2015-04-13,95.03116255484844,106.7165108554746,110.3501476615544,101.81193637111743,100.50601759862255
2015-04-14,96.46631872314202,106.41818179127691,110.8613730143848,100.41288649707003,99.4637567636156
2015-04-15,94.10899018787524,107.1879032703931,109.32927863764914,99.37717286087272,98.59106974479488
2015-04-16,94.86973987796631,107.56128816206379,108.41541387935672,99.7738322432267,98.62257712660943
2015-04-17,94.97788927525268,107.91676244139164,109.80488975105334,98.69880910919535,98.56523941121286
2015-04-20,94.7396948370997,108.42954213090405,109.6642737353642,99.76780271343341,97.28138774254535
2015-04-21,94.85191572573898,106.89067402804007,109.78154427349813,99.73242871569731,97.46439432705964
2015-04-22,93.1006362916005,107.68898074000042,110.6035530265271,99.84475278707004,98.38510361986927
2015-04-23,92.93694266430454,108.34639466196808,111.36639600767519,99.61382016272653,97.36737216233536
2015-04-24,93.28005256105011,107.33993333714666,111.6951352336874,100.37289599732429,98.5690118793431
2015-04-27,94.61230125705742,107.12644672851187,111.51036127132541,101.14753643645706,97.14717672382329
2015-04-28,94.17900218534173,107.12066633125836,111.21631081373351,101.4998764307454,99.12162440067503
2015-04-29,93.48941541817175,107.01853589846968,112.1531794719192,102.07377862934884,98.76790041113725
2015-04-30,93.07584646914655,107.39011928859516,112.77542782296631,101.90162112796858,98.93515511980921
2015-05-01,93.91047594761861,108.87667830175354,112.53704355657794,102.45604717897633,97.19779676116882
2015-05-04,94.23201286286978,110.02415085578609,113.72346090098159,102.16146713340817,97.1715853999225
2015-05-05,93.79022462593002,108.69485605502227,113.62090537215379,102.19605360846049,97.41222247098781
2015-05-06,94.27487451528776,109.36827168997287,112.74261681835485,101.96328378463282,97.36383830332193
2015-05-07,94.39128107057742,110.77635536240973,111.96986328657171,101.55514017759924,96.87671185623489
2015-05-08,95.28519436208695,111.21640970220894,110.96988604587881,100.92610417434902,96.04098226442882
2015-05-11,94.68334278582577,112.39822378249613,110.71947446471304,101.4041625080252,97.09742661220153
2015-05-12,94.42025035234646,114.57106452035859,112.04534670221187,102.6921497238624,97.15651625914164
